,covid,covid19,litcovid,thcovid,healthcare,healthcares,innovation,innovationand,innovations,20policy,policy,policymaker,policymakers,policymaking
314,1,0,0,0,0,0,1,0,0,0,1,0,0,0
315,1,0,0,0,0,0,1,0,0,0,2,0,0,0
316,1,0,0,0,0,0,0,0,1,0,1,0,0,0
317,1,0,0,0,0,0,1,0,0,0,0,0,0,0
318,4,0,0,0,0,0,2,0,0,0,0,0,0,0
319,1,0,0,0,0,0,1,0,0,0,1,0,0,0
320,2,0,0,0,0,0,0,0,1,0,1,0,0,0
321,5,0,0,0,0,0,2,0,0,0,7,0,0,0
322,5,0,0,0,0,0,1,0,0,0,5,0,0,0
323,1,0,0,0,0,0,1,0,0,0,13,0,0,0
324,4,0,0,0,0,0,3,0,0,0,2,0,0,0
325,2,0,0,0,0,0,2,0,0,0,1,0,0,0
326,6,0,0,0,0,0,0,0,1,0,1,0,0,0
327,2,0,0,0,0,0,0,0,1,0,0,0,0,0
328,1,0,0,0,0,0,1,0,0,0,0,0,0,0
329,1,0,0,0,2,0,1,0,0,0,2,0,0,0
330,1,0,0,0,0,0,2,0,0,0,2,0,0,0
331,4,0,0,0,0,0,0,0,1,0,0,0,0,0
332,1,0,0,0,0,0,3,0,0,0,1,0,0,0
333,1,0,0,0,0,0,0,0,0,0,1,0,0,0
334,4,0,0,0,0,0,7,0,0,0,0,0,0,0
335,1,0,0,0,0,0,1,0,0,0,1,0,0,0
336,0,0,0,0,0,0,4,0,0,0,0,0,1,0
337,1,0,0,0,4,0,0,0,0,0,1,0,0,0
338,1,0,0,0,0,0,5,0,0,0,0,0,0,0
339,1,0,0,0,0,0,4,0,1,0,2,0,0,0
340,0,0,0,0,0,0,2,0,0,0,0,0,0,0
341,4,0,0,0,0,0,1,0,1,0,2,0,0,0
342,5,0,0,0,0,0,0,0,1,0,2,0,0,0
343,2,0,0,0,0,0,1,0,0,0,1,0,0,0
344,1,0,0,0,1,0,1,0,0,0,0,0,0,0
345,2,0,0,0,0,0,5,0,0,0,1,0,1,0
346,1,0,0,0,0,0,0,0,1,0,0,0,0,0
347,3,0,0,0,0,0,2,0,7,0,1,0,0,0
348,3,0,0,0,0,0,0,0,1,0,1,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,2,0,0,0,0,0,0,0,0,0,1,0,0,0
351,7,0,0,0,1,0,1,0,3,0,1,0,0,0
352,2,0,0,0,0,0,1,0,0,0,0,0,0,0
